Timestamp,Team Name,Team Tag,Captain / Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7
2/9/2026 13:25:54,dicE,dicE[: :],stealthlol,dyeL!fe[dd],gorilla[bc],warchyld[dd],m00cat,element,
2/9/2026 20:03:37,b team,b.   ,twist~,sTarK x_0,reptaR,steve,fallen,hey hi,
2/18/2026 17:17:46,Uncle Rico's Time Machine,uR[TM]*,HLAH,zamp0lit,Las1K64,SirSnipeys,Jee,Kev.de,
2/18/2026 17:53:31,Herd of Cats,ฅ(=^･ｪ･^=)ฅ,kroD-,Nicholson,TillJim,Incite,Patten,p12,
2/18/2026 19:57:09,North Atlantic Treaty Org,North Atlantic Treaty Org,bayko,Sz,Sq,nightmare,NoName,Ho0liii,
2/22/2026 14:38:41,icyHOT,icyHOT ~,kanguhhh,Seanality,s i k,monday,vertex,hildebrand?,
3/7/2026 8:13:52,onLAN thunder,THUNDER,Toxinator,JaGGonator,Jules,Dorito,Omenayr,Ian,Mogers
3/8/2026 10:07:47,NoSoul,NoSo !,Khoi,bausch,yayme,stamp,arachnid,Savage,
3/15/2026 0:31:38,(To be determined),(TBD),BuLLeT FoDDeR,Epyon,,Brascal,,,
3/17/2026 9:53:26,Best Price,[ $ ],Nein,Hypnotik,Piff,Cory,Caleb,Bromley,
5/14/2026 9:39:26,TBA,TBA,cKillA-,paintball,Hopper,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,, ,,,,,,,